product_id,product_name,category,brand,retail_price,cost,times_ordered,total_revenue,total_profit,pct_of_margin,avg_sale_price,avg_discount_pct,product_classification
24110,Woolrich Arctic Parka DF,Outerwear & Coats,Woolrich,990,478.17,9,8910,4606.47,51.7,990,100,Niche Premium
8429,The North Face Women's S-XL Oso Jacket,Outerwear & Coats,The North Face,903,378.36,8,7224,4197.14,58.1,903,100,Niche Premium
24447,Darla,Outerwear & Coats,Alpha Industries,999,404.6,7,6993,4160.83,59.5,999,100,Niche Premium
2559,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,Active,Nike,903,403.64,8,7224,3994.87,55.3,903,100,Niche Premium
18656,JORDAN DURASHEEN SHORT MENS 404309-109,Active,Jordan,903,370.23,7,6321,3729.39,59,903,100,Niche Premium
24205,Diesel Men's Lagnum Leather Jacket,Outerwear & Coats,Diesel,598,267.9,10,5980,3300.96,55.2,598,100,Niche Premium
23951,The North Face Nuptse 2 Jacket Deep Water Blue Mens,Outerwear & Coats,The North Face,903,367.52,6,5418,3212.87,59.3,903,100,Niche Premium
23989,The North Face Freedom Mens Ski Pants 2013,Outerwear & Coats,The North Face,903,369.33,6,5418,3202.04,59.1,903,100,Niche Premium
2793,adidas Women's adiFIT Slim Pant,Active,adidas,903,375.65,6,5418,3164.11,58.4,903,100,Niche Premium
18062,The North Face Apex Bionic Soft Shell Jacket - Men's,Active,The North Face,903,391.9,6,5418,3066.59,56.6,903,100,Niche Premium
23648,The North Face Apex Bionic Jacket - Men's,Outerwear & Coats,The North Face,903,399.13,6,5418,3023.24,55.8,903,100,Niche Premium
24083,Diesel Men's Lisardo Jacket,Outerwear & Coats,Diesel,758,335.04,7,5306,2960.75,55.8,758,100,Niche Premium
23646,Diesel Men's Lophophora Leather Jacket,Outerwear & Coats,Diesel,898,408.59,6,5388,2936.46,54.5,898,100,Niche Premium
18340,Canada Goose Men's The Chateau Jacket,Active,Canada Goose,815,337.41,6,4890,2865.54,58.6,815,100,Niche Premium
24341,Nobis Yatesy Parka,Outerwear & Coats,Nobis,950,381.9,5,4750,2840.5,59.8,950,100,Niche Premium
2557,Canada Goose Women's Mystique,Active,Canada Goose,750,280.5,6,4500,2817,62.6,750,100,Niche Premium
24179,Arc'teryx Men's Diplomat Jacket,Outerwear & Coats,Arc'teryx,450,202.5,11,4950,2722.5,55,450,100,Niche Premium
23654,The North Face Apex Bionic Soft Shell Jacket - Men's,Outerwear & Coats,The North Face,903,363.01,5,4515,2699.97,59.8,903,100,Niche Premium
7649,Magaschoni Women's Shimmer Jacket,Blazers & Jackets,Magaschoni,698,258.96,6,4188,2634.25,62.9,698,100,Niche Premium
23803,Canada Goose Men's The Chateau Jacket,Outerwear & Coats,Canada Goose,815,378.16,6,4890,2621.04,53.6,815,100,Niche Premium
2719,Canada Goose Women's Solaris,Active,Canada Goose,695,261.32,6,4170,2602.08,62.4,695,100,Niche Premium
23546,Alpha Industries Rip Stop Short,Shorts,Alpha Industries,999,482.52,5,4995,2582.42,51.7,999,100,Niche Premium
7976,Vivienne Westwood Red Label Women's Giacca Plaid Jacket,Blazers & Jackets,Vivienne Westwood,485,167.33,8,3880,2541.4,65.5,485,100,Niche Premium
23742,Canada Goose Men's Citadel Parka,Outerwear & Coats,Canada Goose,795,387.16,6,4770,2447.01,51.3,795,100,Niche Premium
3135,HALSTON HERITAGE Women's Sleeveless V-Neck Faille Dress,Dresses,Halston Heritage,495,228.69,9,4455,2396.79,53.8,495,100,Niche Premium
20368,Diesel Men's Jimeneo Jacket,Suits & Sport Coats,Diesel,698,304.33,6,4188,2362.03,56.4,698,100,Niche Premium
10453,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,Intimates,Nike,903,512,6,5418,2345.99,43.3,903,100,Niche Premium
24053,The North Face Denali Down Mens Jacket 2013,Outerwear & Coats,The North Face,903,436.15,5,4515,2334.25,51.7,903,100,Niche Premium
23784,Faconnable Men's Reversible Trench Coat,Outerwear & Coats,Faconnable,575,243.23,7,4025,2322.42,57.7,575,100,Niche Premium
5213,Catherine Malandrino Women's Skinny Stretch Leather Pant,Pants & Capris,Catherine Malandrino,895,434.07,5,4475,2304.63,51.5,895,100,Niche Premium
8774,Nobis Tula Parka,Outerwear & Coats,Nobis,825,364.65,5,4125,2301.75,55.8,825,100,Niche Premium
17094,The North Face Apex Bionic Soft Shell Jacket - Men's,Fashion Hoodies & Sweatshirts,The North Face,903,524.64,6,5418,2270.14,41.9,903,100,Niche Premium
23838,Arc'teryx Men's Alpha SV Jacket,Outerwear & Coats,Arc'teryx,625,248.12,6,3750,2261.25,60.3,625,100,Niche Premium
19878,Ben Sherman Men's Plectrum Tweed Blazer,Suits & Sport Coats,Ben Sherman,295,107.97,12,3540,2244.36,63.4,295,100,Niche Premium
3588,Nicole Miller Women's Reverse Stretch Charmeuse Boat Neck Dress,Dresses,Nicole Miller,375,151.13,10,3750,2238.75,59.7,375,100,Niche Premium
